File Name,Formation,Member,Onset (s),Slope (dB/s),R^2,Drop Time (s),C2 (dB),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Peak Frequency (Hz),Rolloff 85% (Hz),Low Power 1-10 kHz,High Power 10-30 kHz,High/Low Ratio,High Frequency Fraction,Total FFT Power,Recovery Method
scam_0181_0683005716_916_ca0_scam02181_grandes_tours_du_lac_01p01.wav,Maaz,Rochette,0.07188,-5338.194148,0.9297355217,0.001498634141,14.42030411,5552.409087,3654.148138,4500,7700,28861221980,1031770804,0.03574938041,0.03095784549,33328249672,
scam_0181_0683005884_912_ca0_scam02181_grandes_tours_du_lac_02p01.wav,Maaz,Rochette,0.07179,-9733.615132,0.9413272115,0.0008218940128,15.70484233,5839.047781,3623.573635,5000,7800,23843714058,903639444.8,0.03789843489,0.03340649961,27049809327,
scam_0182_0683091492_713_ca0_scam01182_lance________________01p01.wav,Maaz,Rochette,0.07064,-1717.585176,0.9801873894,0.004657702053,7.194371109,8620.164009,11358.52181,4900,10400,58518651822,5256350833,0.08982351215,0.03651895496,143934864483,
scam_0182_0683091689_749_ca0_scam01182_lance________________02p01.wav,Maaz,Rochette,0.07063,-2909.009188,0.9794693105,0.002750077254,11.67127402,10860.3862,12810.438,4600,23500,34138477346,3548052840,0.1039311977,0.06658915327,53282744490,
scam_0182_0683094296_931_ca0_scam02182_estoublon____________01p01.wav,Maaz,Rochette,0.06929,-1821.043834,0.9650707652,0.004393084806,11.07319589,7582.354458,7128.551161,4400,9100,32213193712,2319932829,0.07201809451,0.0579405707,40039868454,
scam_0182_0683094463_811_ca0_scam02182_estoublon____________02p01.wav,Maaz,Rochette,0.06924,-3848.872403,0.9281823639,0.002078530843,13.72071849,6374.991156,5761.192751,3500,8600,58811292847,5467556272,0.09296779594,0.07955189724,68729426473,
scam_0184_0683272842_931_ca0_scam03184_sauze________________01p01.wav,Maaz,Rochette,0.07535,-1074.292766,0.9691279213,0.007446759627,6.607220079,11355.51571,10869.26303,3200,21100,20766365196,10691248352,0.5148348423,0.1883146069,56773335469,
scam_0191_0683896643_201_ca0_scam02191_digne_les_bains______01p01.wav,Maaz,Rochette,0.0712,-3925.284194,0.8487697673,0.002038068992,14.91318516,7121.770966,7249.492543,7000,8500,34347731366,2242343271,0.06528359172,0.05695918121,39367547485,
scam_0191_0683896809_183_ca0_scam02191_digne_les_bains______02p01.wav,Maaz,Rochette,0.07131,-1286.731595,0.9776825747,0.006217302842,8.725920865,9274.188962,10586.43821,4500,10600,30264472328,3018438556,0.09973537696,0.02946179875,102452622866,
scam_0193_0684066469_854_ca0_scam01193_pont_________________01p01.wav,Maaz,Rochette,0.07405,-7060.102772,0.9533439272,0.001133127981,17.13304868,6127.492375,4682.160444,4800,8300,11130380759,722774066.8,0.06493704775,0.04002971122,18055940068,wider 3p5 sigma
scam_0193_0684066674_865_ca0_scam01193_pont_________________02p01.wav,Maaz,Rochette,0.07398,-486.8534635,0.7228633461,0.01643204907,12.64825181,6069.344163,4283.870577,3900,7800,11010704383,613376419.4,0.05570728249,0.047737896,12848836477,
scam_0193_0684074012_525_ca0_scam04193_souche_______________01p01.wav,Maaz,Rochette,0.07289,-3387.371505,0.9320572659,0.002361713201,14.49974555,6151.018034,3351.490994,5200,7700,39175241476,2504536991,0.06393162868,0.05776695864,43355874197,
scam_0193_0684074256_569_ca0_scam04193_souche_______________02p01.wav,Maaz,Rochette,0.07266,-7695.540965,0.8818238762,0.001039563045,17.20178078,6924.462989,3842.779047,6200,8600,30454452428,1693266665,0.05559997079,0.05146875986,32898921019,
scam_0200_0684689393_585_ca0_scam01200_ondres_______________01p01.wav,Maaz,Rochette,0.07066,-1076.554591,0.9596606987,0.0074311141,9.956255021,10458.80151,11913.60693,4100,15100,21243144843,3071462635,0.144586061,0.07462539983,41158407752,wider 3 sigma
scam_0200_0684689579_616_ca0_scam01200_ondres_______________02p01.wav,Maaz,Rochette,0.07066,-680.1135981,0.6834042431,0.01176274085,11.78785554,13657.47259,14520.51147,1000,35000,11371520921,3911272748,0.3439533529,0.02834762216,137975337940,
scam_0201_0684779623_772_ca0_scam01201_digne________________01p01.wav,Seitah,Undivided,0.07716,-5538.057514,0.9950302031,0.001444549823,-4.4907918,7063.491792,9008.846023,1500,10400,41024193306,6356962680,0.1549564334,0.003702867793,1716767390744,wider 3 sigma
scam_0201_0684779800_791_ca0_scam01201_digne________________02p01.wav,Seitah,Undivided,0.07663,-1078.555115,0.9924718815,0.00741733073,8.389994153,6751.819686,5905.59698,4800,8200,89063092795,6182688385,0.069419197,0.0583724774,105917868484,Original
scam_0205_0685134515_460_ca0_scam04205_monier_______________01p01.wav,Seitah,Bastide,0.07,-7611.26824,0.9840224618,0.001051073191,19.77759495,10811.33361,11442.13087,6800,18100,22365455445,3251703028,0.1453895288,0.1064631194,30542999747,
scam_0205_0685134703_601_ca0_scam04205_monier_______________02p01.wav,Seitah,Bastide,0.06988,-6445.980317,0.9826801569,0.001241083529,16.88121619,9690.204793,10024.80161,6900,10900,9479108084,1075635734,0.1134743611,0.09115085057,11800611042,
scam_0205_0685137290_788_ca0_scam05205_levens_______________01p01.wav,Seitah,Bastide,0.06876,-5559.533569,0.8948754626,0.001438969637,12.37974979,6714.160264,5984.754356,3700,8600,26730784628,2432799079,0.09101113613,0.07679449048,31679343964,
scam_0205_0685137452_729_ca0_scam05205_levens_______________02p01.wav,Seitah,Bastide,0.06893,-4925.923366,0.9610402296,0.001624060995,14.40294813,6334.615822,5527.586394,4000,8200,25945394261,1235236897,0.04760910104,0.04394551791,28108370448,
scam_0206_0685219382_906_ca0_scam01206_cine_________________01p01.wav,Seitah,Bastide,0.06976,-7645.861286,0.8550002644,0.001046317701,17.41492685,8047.39134,8236.53864,3100,10100,24214569078,3238582115,0.1337451889,0.1018843744,31786838101,
scam_0206_0685219580_929_ca0_scam01206_cine_________________02p01.wav,Seitah,Bastide,0.06966,-4015.186163,0.9096241118,0.001992435637,14.69023358,9001.646771,9906.933053,5800,9700,42786728437,3406523655,0.07961636188,0.0622196748,54749943099,
scam_0211_0685666238_554_ca0_scam04211_penne________________01p01.wav,Seitah,Bastide,0.06979,-6195.764229,0.9542392887,0.001291204717,15.72753509,8157.774433,8857.770292,3900,10200,26730369104,3218104236,0.1203913131,0.0828864305,38825465360,
scam_0213_0685844840_180_ca0_scam04213_moustiers_sainte_mar_02p01.wav,Seitah,Bastide,0.07324,-2567.4574,0.4784448008,0.00311592317,1.399214277,10842.98001,12379.31459,1500,25300,23339053825,7000792584,0.2999604284,0.007327637545,955395588342,
scam_0237_0687976823_665_ca0_scam06237_sigale_______________01p01.wav,Seitah,Undivided,0.0725,-2131.260405,0.8256848926,0.003753647364,9.995590554,5575.17785,4111.281587,3900,7500,31727877524,2297419703,0.07241012895,0.01497367403,153430594088,
