File Name,Expected Time (s),Found,Flagged,Onset (s),Peak Time (s),Lag (ms),Forced Peak
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.065,False,True,,,,
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.07,True,False,0.07661,0.07709,0.48000000000000004,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.073,False,True,,,,
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.076,True,False,0.07661,0.07709,0.48000000000000004,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.08,True,False,0.07657,0.07709,0.5199999999999999,False
scam_0274_0691261499_530_ca0_scam01274_melle________________02p01.wav,0.085,False,True,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.06,False,True,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.065,False,True,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.07,False,True,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.073,False,True,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.076,False,True,,,,
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.08,True,True,0.07541,0.07541,0.0,True
scam_0274_0691263225_224_ca0_scam03274_chasteuil____________01p01.wav,0.085,True,False,0.08552,0.08567,0.15,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.06,True,True,0.06081,0.06081,0.0,True
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.065,False,True,,,,
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.07,True,True,0.07625,0.07793,1.6800000000000002,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.073,True,True,0.07625,0.07793,1.6800000000000002,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.076,True,True,0.07625,0.07793,1.6800000000000002,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.08,True,True,0.07624,0.07793,1.6900000000000002,False
scam_0286_0692324948_436_ca0_scam01286_bezaudun_____________01p01.wav,0.085,True,False,0.07753,0.07793,0.4,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.06,True,False,0.05363,0.05369,0.060000000000000005,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.065,True,True,0.06221,0.06221,0.0,True
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.07,True,False,0.06205,0.06221,0.16,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.073,False,True,,,,
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.076,True,False,0.07516,0.07546,0.3,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.08,True,True,0.07286,0.07546,2.6,False
scam_0309_0694365855_967_ca0_scam04309_riez_________________01p01.wav,0.085,False,True,,,,
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.06,True,False,0.05454,0.05463,0.09000000000000001,False
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.065,False,True,,,,
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.07,False,True,,,,
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.073,True,True,0.06776,0.06776,0.0,True
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.076,True,False,0.07929,0.07958,0.29,False
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.08,True,False,0.07929,0.07958,0.29,False
scam_0312_0694632787_748_ca0_scam01312_riolan_312___________02p01.wav,0.085,True,True,0.07704,0.07958,2.54,False
