Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0454_0707256121_647_ca0_scam07454_dakavak______________05p__2.0.zip,scam_0454_0707256160_466_ca0_scam07454_dakavak______________01p02.fits,scam_0454_0707256160_466_ca0_scam07454_dakavak______________01p02.wav,OK,9,6000,54000,0.54,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0456_0707411338_725_ca0_scam15012_aegis_0456a__________01p__2.0.zip,scam_0456_0707411338_725_ca0_scam15012_aegis_0456a__________01p02.fits,scam_0456_0707411338_725_ca0_scam15012_aegis_0456a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0456_0707411338_725_ca0_scam15012_aegis_0456a__________01p__2.0.zip,scam_0456_0707412461_711_ca0_scam15012_aegis_0456b__________01p02.fits,scam_0456_0707412461_711_ca0_scam15012_aegis_0456b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0456_0707423442_336_ca0_scam04456_three_sisters________01p__2.0.zip,scam_0456_0707423442_336_ca0_scam04456_three_sisters________01p02.fits,scam_0456_0707423442_336_ca0_scam04456_three_sisters________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0457_0707500136_341_ca0_scam15012_aegis_0457a__________01p__2.0.zip,scam_0457_0707500136_341_ca0_scam15012_aegis_0457a__________01p02.fits,scam_0457_0707500136_341_ca0_scam15012_aegis_0457a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0457_0707500136_341_ca0_scam15012_aegis_0457a__________01p__2.0.zip,scam_0457_0707501296_475_ca0_scam15012_aegis_0457b__________01p02.fits,scam_0457_0707501296_475_ca0_scam15012_aegis_0457b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0457_0707509600_591_ca0_scam03457_furnace_mountain_____01p__2.0.zip,scam_0457_0707509600_591_ca0_scam03457_furnace_mountain_____01p02.fits,scam_0457_0707509600_591_ca0_scam03457_furnace_mountain_____01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0457_0707510928_622_ca0_scam04457_chimney_rock_________01p__2.0.zip,scam_0457_0707510928_622_ca0_scam04457_chimney_rock_________01p02.fits,scam_0457_0707510928_622_ca0_scam04457_chimney_rock_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0458_0707588160_822_ca0_scam15012_aegis_0458a__________01p__2.0.zip,scam_0458_0707588160_822_ca0_scam15012_aegis_0458a__________01p02.fits,scam_0458_0707588160_822_ca0_scam15012_aegis_0458a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0458_0707588160_822_ca0_scam15012_aegis_0458a__________01p__2.0.zip,scam_0458_0707589319_822_ca0_scam15012_aegis_0458b__________01p02.fits,scam_0458_0707589319_822_ca0_scam15012_aegis_0458b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0458_0707599716_998_ca0_scam03458_falls_hollow_________01p__2.0.zip,scam_0458_0707599716_998_ca0_scam03458_falls_hollow_________01p02.fits,scam_0458_0707599716_998_ca0_scam03458_falls_hollow_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0458_0707601840_708_ca0_scam04458_limberlost___________01p__2.0.zip,scam_0458_0707601840_708_ca0_scam04458_limberlost___________01p02.fits,scam_0458_0707601840_708_ca0_scam04458_limberlost___________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0459_0707689244_288_ca0_scam01459_elder_ridge__________01p__2.0.zip,scam_0459_0707689244_288_ca0_scam01459_elder_ridge__________01p02.fits,scam_0459_0707689244_288_ca0_scam01459_elder_ridge__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0461_0707844535_195_ca0_scam15012_aegis_0461a__________01p__2.0.zip,scam_0461_0707844535_195_ca0_scam15012_aegis_0461a__________01p02.fits,scam_0461_0707844535_195_ca0_scam15012_aegis_0461a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0461_0707844535_195_ca0_scam15012_aegis_0461a__________01p__2.0.zip,scam_0461_0707845662_028_ca0_scam15012_aegis_0461b__________01p02.fits,scam_0461_0707845662_028_ca0_scam15012_aegis_0461b__________01p02.wav,OK,29,6000,174000,1.74,
