Unit,ZIP,FITS,WAV,Status,Number of shots,Samples per shot,Total samples,Duration (s),Error
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0461_0707860215_216_ca0_scam03461_smith_mountain_______01p__2.0.zip,scam_0461_0707860215_216_ca0_scam03461_smith_mountain_______01p02.fits,scam_0461_0707860215_216_ca0_scam03461_smith_mountain_______01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0462_0707944902_794_ca0_scam15012_aegis_0462a__________01p__2.0.zip,scam_0462_0707944902_794_ca0_scam15012_aegis_0462a__________01p02.fits,scam_0462_0707944902_794_ca0_scam15012_aegis_0462a__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0462_0707944902_794_ca0_scam15012_aegis_0462a__________01p__2.0.zip,scam_0462_0707946034_841_ca0_scam15012_aegis_0462b__________01p02.fits,scam_0462_0707946034_841_ca0_scam15012_aegis_0462b__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0463_0708046017_931_ca0_scam01463_pignut_mountain_scam_01p__2.0.zip,scam_0463_0708046017_931_ca0_scam01463_pignut_mountain_scam_01p02.fits,scam_0463_0708046017_931_ca0_scam01463_pignut_mountain_scam_01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0464_0708132109_040_ca0_scam01464_gimlet_ridge_________01p__2.0.zip,scam_0464_0708132109_040_ca0_scam01464_gimlet_ridge_________01p02.fits,scam_0464_0708132109_040_ca0_scam01464_gimlet_ridge_________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0465_0708221048_464_ca0_scam01465_calvary_rocks________01p__2.0.zip,scam_0465_0708221048_464_ca0_scam01465_calvary_rocks________01p02.fits,scam_0465_0708221048_464_ca0_scam01465_calvary_rocks________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0465_0708223515_853_ca0_scam02465_lighted_top__________01p__2.0.zip,scam_0465_0708223515_853_ca0_scam02465_lighted_top__________01p02.fits,scam_0465_0708223515_853_ca0_scam02465_lighted_top__________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0466_0708311854_826_ca0_scam01466_reids_gap____________01p__2.0.zip,scam_0466_0708311854_826_ca0_scam01466_reids_gap____________01p02.fits,scam_0466_0708311854_826_ca0_scam01466_reids_gap____________01p02.wav,OK,29,6000,174000,1.74,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0471_0708740988_825_ca0_scam01471_pinefield_gap________01p__2.0.zip,scam_0471_0708740988_825_ca0_scam01471_pinefield_gap________01p02.fits,scam_0471_0708740988_825_ca0_scam01471_pinefield_gap________01p02.wav,OK,124,6000,744000,7.44,
Delta,urn_nasa_pds_mars2020_supercam_data_calibrated_audio_scam_0472_0708829531_841_ca0_scam01472_lefthand_hollow______01p__2.0.zip,scam_0472_0708829531_841_ca0_scam01472_lefthand_hollow______01p02.fits,scam_0472_0708829531_841_ca0_scam01472_lefthand_hollow______01p02.wav,OK,29,6000,174000,1.74,
